userid,dev,log_time,log_date,seq_id,join_type,group_id,start_date,end_date,exp_userid,exp_dev,next_group
22568784,p_e6b987345cbfa6575625ea101d7c9ac6,2013/12/3 13:08,2013/12/3,9.0,p,1803290000062,2015/3/15,2015/4/20,85266977,p_b9df9e45df6c02fc63b4e76b5765cffd,1803290000082
35120521,d_226716351344,2014/5/4 21:40,2014/5/4,27.0,d,1803290000062,2015/3/15,2015/4/20,85266977,p_b9df9e45df6c02fc63b4e76b5765cffd,1803290000082
34545273,p_042709aed0ef6eb4784c22469ab872bb,2014/5/6 21:31,2014/5/6,28.0,p,1803290000062,2015/3/15,2015/4/20,85266977,p_b9df9e45df6c02fc63b4e76b5765cffd,1803290000082
66485465,d_4401401718018,2014/10/11 16:01,2014/10/11,67.0,d,1803290000062,2015/3/15,2015/4/20,85266977,p_b9df9e45df6c02fc63b4e76b5765cffd,1803290000082
82616032,d_46890741156243,2015/1/22 12:28,2015/1/22,122.0,d,1803290000062,2015/3/15,2015/4/20,85266977,p_b9df9e45df6c02fc63b4e76b5765cffd,1803290000082
85266977,d_66300952712930,2015/3/15 12:16,2015/3/15,146.0,d,1803290000062,2015/3/15,2015/4/20,85266977,p_b9df9e45df6c02fc63b4e76b5765cffd,1803290000082
85283189,d_64219460653716,2015/3/15 18:38,2015/3/15,149.0,d,1803290000059,2015/3/15,2015/5/12,88682292,d_64753381607327,1803290000095
85504501,d_67988154073044,2015/3/20 11:04,2015/3/20,152.0,d,1803290000063,2015/3/20,2099-12-31,,,
85508166,d_68806425194668,2015/3/20 12:54,2015/3/20,153.0,d,1803290000060,2015/3/20,2015/3/23,2371737,d_68806425194668,1803290000064
2371737,p_432b7e36865c61e59f60402d777a8caf,2013/3/12 9:49,2013/3/12,4.0,p,1803290000064,2015/3/23,2015/4/5,86092127,p_88350044b18e16b7686199e3aff9fbbc,1803290000071
80434037,d_9944279079464,2014/12/4 15:34,2014/12/4,106.0,d,1803290000064,2015/3/23,2015/4/5,86092127,p_88350044b18e16b7686199e3aff9fbbc,1803290000071
85221378,d_68806425194668,2015/3/14 14:04,2015/3/14,145.0,d,1803290000064,2015/3/23,2015/4/5,86092127,p_88350044b18e16b7686199e3aff9fbbc,1803290000071
85508166,d_68806425194668,2015/3/20 12:54,2015/3/20,153.0,d,1803290000064,2015/3/23,2015/4/5,86092127,p_88350044b18e16b7686199e3aff9fbbc,1803290000071
85708468,d_66142281383083,2015/3/25 16:34,2015/3/25,156.0,d,1803290000065,2015/3/25,2015/5/17,88670548,d_66142281383083,1803290000103
85774977,d_39874442911564,2015/3/27 0:00,2015/3/27,158.0,d,1803290000054,2015/3/27,2099-12-31,,,
18464153,p_a27c599d7e72e7298931cc9c8ee48987,2013/9/4 20:44,2013/9/4,5.0,p,1803290000066,2015/3/30,2015/5/6,87198500,d_48385372850406,1803290000088
78672179,d_5906522770463,2014/11/8 12:16,2014/11/8,90.0,d,1803290000066,2015/3/30,2015/5/6,87198500,d_48385372850406,1803290000088
85996230,d_48385372850406,2015/3/30 22:10,2015/3/30,161.0,d,1803290000066,2015/3/30,2015/5/6,87198500,d_48385372850406,1803290000088
85998880,d_1295903538383,2015/3/30 22:56,2015/3/30,162.0,d,1803290000012,2015/3/30,2099-12-31,,,
86050998,d_161335034135,2015/3/31 23:00,2015/3/31,163.0,d,1803290000016,2015/3/31,2015/6/11,85702670,d_68348179173767,1803290000125
87198146,d_63671261202141,2015/4/1 8:52,2015/4/1,164.0,d,1803290000067,2015/4/1,2015/5/6,87198500,d_48385372850406,1803290000088
85562769,d_63671261202141,2015/4/1 8:54,2015/4/1,165.0,d,1803290000067,2015/4/1,2015/5/6,87198500,d_48385372850406,1803290000088
86092127,d_63426747523076,2015/4/1 19:11,2015/4/1,168.0,d,1803290000068,2015/4/1,2015/4/5,86092127,p_88350044b18e16b7686199e3aff9fbbc,1803290000071
86121256,d_48385372850406,2015/4/2 11:34,2015/4/2,170.0,d,1803290000066,2015/4/2,2015/5/6,87198500,d_48385372850406,1803290000088
86220428,d_64238646529136,2015/4/4 6:33,2015/4/4,171.0,d,1803290000069,2015/4/4,2015/4/12,86696803,d_64238646529136,1803290000074
86374755,d_64248856877118,2015/4/5 23:18,2015/4/5,175.0,d,1803290000070,2015/4/5,2099-12-31,,,
2371737,p_432b7e36865c61e59f60402d777a8caf,2013/3/12 9:49,2013/3/12,4.0,p,1803290000071,2015/4/5,2099-12-31,,,
80434037,d_9944279079464,2014/12/4 15:34,2014/12/4,106.0,d,1803290000071,2015/4/5,2099-12-31,,,
85221378,d_68806425194668,2015/3/14 14:04,2015/3/14,145.0,d,1803290000071,2015/4/5,2099-12-31,,,
85508166,d_68806425194668,2015/3/20 12:54,2015/3/20,153.0,d,1803290000071,2015/4/5,2099-12-31,,,
86092127,d_63426747523076,2015/4/1 19:11,2015/4/1,168.0,d,1803290000071,2015/4/5,2099-12-31,,,
86454012,d_69734475891253,2015/4/7 16:50,2015/4/7,178.0,d,1803290000072,2015/4/7,2015/5/12,88679235,d_69734475891253,1803290000096
86697117,d_69193944840358,2015/4/11 13:33,2015/4/11,181.0,d,1803290000073,2015/4/11,2015/4/12,86696803,d_64238646529136,1803290000074
86696803,d_69193944840358,2015/4/11 15:23,2015/4/11,182.0,d,1803290000073,2015/4/11,2015/4/12,86696803,d_64238646529136,1803290000074
86220428,d_64238646529136,2015/4/4 6:33,2015/4/4,171.0,d,1803290000074,2015/4/12,2015/5/30,89918658,d_64219460653716,1803290000113
86697117,d_69193944840358,2015/4/11 13:33,2015/4/11,181.0,d,1803290000074,2015/4/12,2015/5/30,89918658,d_64219460653716,1803290000113
86696803,d_69193944840358,2015/4/11 15:23,2015/4/11,182.0,d,1803290000074,2015/4/12,2015/5/30,89918658,d_64219460653716,1803290000113
86754562,d_64238646529136,2015/4/12 10:16,2015/4/12,186.0,d,1803290000074,2015/4/12,2015/5/30,89918658,d_64219460653716,1803290000113
86880355,d_62104927638253,2015/4/14 11:20,2015/4/14,187.0,d,1803290000075,2015/4/14,2015/5/9,86880355,d_66972846519392,1803290000091
87039196,d_48385372850406,2015/4/17 9:47,2015/4/17,190.0,d,1803290000066,2015/4/17,2015/5/6,87198500,d_48385372850406,1803290000088
87048616,d_3411114042864,2015/4/17 12:31,2015/4/17,191.0,d,1803290000001,2015/4/17,2015/4/18,87049189,p_a95a8486c1af7892202e07ae003438a9,1803290000076
87049189,d_3411114042864,2015/4/17 12:42,2015/4/17,193.0,d,1803290000001,2015/4/17,2015/4/18,87049189,p_a95a8486c1af7892202e07ae003438a9,1803290000076
87050971,d_68806425194668,2015/4/17 13:09,2015/4/17,194.0,d,1803290000071,2015/4/17,2099-12-31,,,
4654951,p_787b760d2311d5760dd3268622f5210a,2012/1/18 10:40,2012/1/18,2.0,p,1803290000076,2015/4/18,2015/4/19,26066102,d_61528155628740,1803290000080
26066102,p_a95a8486c1af7892202e07ae003438a9,2014/7/28 12:01,2014/7/28,50.0,p,1803290000076,2015/4/18,2015/4/19,26066102,d_61528155628740,1803290000080
87048616,d_3411114042864,2015/4/17 12:31,2015/4/17,191.0,d,1803290000076,2015/4/18,2015/4/19,26066102,d_61528155628740,1803290000080
87049189,d_3411114042864,2015/4/17 12:42,2015/4/17,193.0,d,1803290000076,2015/4/18,2015/4/19,26066102,d_61528155628740,1803290000080
87110872,d_68646590477451,2015/4/18 10:57,2015/4/18,199.0,d,1803290000077,2015/4/18,2099-12-31,,,
87140314,d_69734475891253,2015/4/18 18:57,2015/4/18,200.0,d,1803290000072,2015/4/18,2015/5/12,88679235,d_69734475891253,1803290000096
87141694,d_61528155628740,2015/4/18 19:16,2015/4/18,201.0,d,1803290000078,2015/4/18,2015/4/19,26066102,d_61528155628740,1803290000080
87180931,d_69879033854689,2015/4/19 10:24,2015/4/19,202.0,d,1803290000079,2015/4/19,2015/5/16,88874657,p_aa755f70729ccee8584c3478fd00d8cc,1803290000102
4654951,p_787b760d2311d5760dd3268622f5210a,2012/1/18 10:40,2012/1/18,2.0,p,1803290000080,2015/4/19,2015/5/9,86880355,d_66972846519392,1803290000091
26066102,p_a95a8486c1af7892202e07ae003438a9,2014/7/28 12:01,2014/7/28,50.0,p,1803290000080,2015/4/19,2015/5/9,86880355,d_66972846519392,1803290000091
87048616,d_3411114042864,2015/4/17 12:31,2015/4/17,191.0,d,1803290000080,2015/4/19,2015/5/9,86880355,d_66972846519392,1803290000091
87049189,d_3411114042864,2015/4/17 12:42,2015/4/17,193.0,d,1803290000080,2015/4/19,2015/5/9,86880355,d_66972846519392,1803290000091
